Lp;imie;nazwisko;ulica;numer_mieszkania;uczelnia;zawod;plec;wzrost;miasto;wojewodztwo;Punkty
8;Jadwiga; Chrilecka;Kwiatowa 54;5;U.Pozn.;geodeta;K;180;warszawa;mazowieckie;360
11;Jadwiga; Derilecka;Kwiatowa 30;7;U.Pozn.;geodeta;K;188;warszawa;mazowieckie;376
14;Michal; Dindo;Kwiatowa 35;11;P.W.;inzynier;M;197;warszawa;mazowieckie;
18;Robert; Dwernik;Kwiatowa 47;10;U.W.;kartograf;M;169;warszawa;mazowieckie;338
1;Jadwiga;Bilecka;Kwiatowa 29;6;U.Pozn.;filolog;K;156;Radom;mazowieckie;312
2;Rafal;Bobek;Kwiatowa 32;6;P.Wr.;kartograf;M;190;Radom;mazowieckie;380
3;Robert;Bobekowski;Kwiatowa 29;5;P.Wr.;kartograf;M;175;Radom;mazowieckie;350
4;Rafal;Bobikowski;Kwiatowa 31;3;P.Wr.;kartograf;M;184;warszawa;mazowieckie;368
5;Rafal;Brobek;Kwiatowa 26;3;P.Wr.;kartograf;M;160;warszawa;mazowieckie;320
6;Wiktor;Brudziak;Kwiatowa 39;13;P.W.;nauczyciel;M;179;warszawa;mazowieckie;358
7;Boleslaw;Bryski;Kwiatowa 34;6;U.W.;geograf;M;191;warszawa;mazowieckie;382
9;Liliana;Ciupa;Kwiatowa 33;3;P.Szcz.;inzynier;K;170;warszawa;mazowieckie;340
10;Katarzyna;Dawro;Kwiatowa 33;11;P.Szcz.;geograf;K;187;warszawa;mazowieckie;374
12;Michal;Dertucha;Kwiatowa 36;4;P.W.;inzynier;M;186;warszawa;mazowieckie;372
13;Robert;Dido;Kwiatowa 47;7;U.W.;kartograf;M;163;warszawa;mazowieckie;
15;Rafal;Dobek;Kwiatowa 29;3;P.Wr.;kartograf;M;168;warszawa;mazowieckie;336
16;Andrzej;Drozda;Kwiatowa 29;4;P.Wr.;kartograf;M;152;warszawa;mazowieckie;304
17;Wiktor;Dudziak;Kwiatowa 39;13;P.W.;nauczyciel;M;148;warszawa;mazowieckie;296
19;Michal;Fendecki;Kwiatowa 35;9;P.W.;inzynier;M;152;warszawa;mazowieckie;304
20;Barbara;Fibiana;Kwiatowa 40;12;U.W.;architekt;K;177;warszawa;mazowieckie;354
21;Jadwiga;Filbrecka;Kwiatowa 32;8;U.Pozn.;geodeta;K;172;warszawa;mazowieckie;344
22;Kalina;Filecka;Kwiatowa 29;1;U.Pozn.;geodeta;K;174;warszawa;mazowieckie;348
23;Jolanta;Filecka;Kwiatowa 30;7;U.Pozn.;geograf;K;193;warszawa;mazowieckie;386
24;Jadwiga;Filoecka;Kwiatowa 55;9;U.Pozn.;geodeta;K;180;warszawa;mazowieckie;360
25;Jadwiga;Firlecka;Kwiatowa 34;8;U.Pozn.;geodeta;K;163;warszawa;mazowieckie;326
26;Rafal;Forbek;Kwiatowa 27;3;P.Wr.;kartograf;M;185;warszawa;mazowieckie;370
27;Barbara;Fornal;Kwiatowa 40;11;U.W.;architekt;K;167;warszawa;mazowieckie;334
28;Rafal;Fraczyki;Kwiatowa 29;1;P.Wr.;kartograf;M;171;warszawa;mazowieckie;342
29;Jadwiga;Fulecka;Kwiatowa 32;5;U.Pozn.;geodeta;K;178;warszawa;mazowieckie;356
30;Jadwiga;Gilecka;Kwiatowa 29;6;U.Pozn.;geograf;K;158;warszawa;mazowieckie;316
31;Rafal;Grater;Kwiatowa 31;2;P.Wr.;kartograf;M;173;warszawa;mazowieckie;346
32;Zbigniew;Grawik;Kwiatowa 50;9;U.W;pedagog;M;169;warszawa;mazowieckie;338
33;Pelagia;Greczyn;Kwiatowa 43;17;P.Szcz.;kartograf;K;166;warszawa;mazowieckie;332
34;Barbara;Griczan;Kwiatowa 43;15;U.W.;architekt;K;176;warszawa;mazowieckie;352
35;Barbara;Gruda;Kwiatowa 36;9;U.W.;architekt;K;186;warszawa;mazowieckie;372
36;Zbigniew;Hrubek;Kwiatowa 56;9;U.W;pedagog;M;181;warszawa;mazowieckie;362
37;Wiktor;Hryczyski;Kwiatowa 39;12;P.W.;nauczyciel;M;162;warszawa;mazowieckie;324
38;Andrzej;Jadziak;Kwiatowa 39;11;P.W.;nauczyciel;M;177;warszawa;mazowieckie;354
39;Barbara;Jagiel;Kwiatowa 27;2;U.W.;architekt;K;200;warszawa;mazowieckie;400
40;Stefan;Janicki;Kwiatowa 57;33;P.W.;lekarz;M;153;warszawa;mazowieckie;306
41;Robert;Jawlik;Kwiatowa 46;4;U.W.;kartograf;M;194;warszawa;mazowieckie;388
42;Barbara;Jelikowska;Kwiatowa 31;6;U.W.;architekt;K;169;warszawa;mazowieckie;338
43;Wiktor;Jobda;Kwiatowa 39;11;P.W.;nauczyciel;M;167;warszawa;mazowieckie;334
44;Jadwiga;Jolecka;Kwiatowa 29;4;U.Pozn.;geograf;K;165;warszawa;mazowieckie;330
46;Zbigniew;Kkol;Kwiatowa 50;5;U.W;pedagog;M;165;warszawa;mazowieckie;330
45;Wiktor;Karolik;Kwiatowa 39;12;P.W.;nauczyciel;M;153;warszawa;mazowieckie;306
47;Barbara;Kiszewska;Kwiatowa 42;11;U.W.;architekt;K;159;warszawa;mazowieckie;318
48;Rafal;Kobek;Kwiatowa 33;2;P.Wr.;kartograf;M;164;warszawa;mazowieckie;328
49;Tadeusz;Komasa;Kwiatowa 43;4;P.G.;lekarz;M;176;warszawa;mazowieckie;352
50;Michal;Komor;Kwiatowa 43;18;P.G.;lekarz;M;166;warszawa;mazowieckie;332
51;Tadeusz;Komorak;Kwiatowa 41;16;P.G.;nauczyciel;M;166;warszawa;mazowieckie;332
52;Tadeusz;Komorna;Kwiatowa 44;12;P.G.;nauczyciel;M;150;warszawa;mazowieckie;300
53;Michal;Komornicki;Kwiatowa 43;14;P.G.;nauczyciel;M;192;warszawa;mazowieckie;384
54;Tadeusz;Komornikw;Kwiatowa 45;20;P.G.;nauczyciel;M;194;warszawa;mazowieckie;388
55;Michal;Komos;Kwiatowa 41;3;P.G.;nauczyciel;M;169;warszawa;mazowieckie;338
56;Tadeusz;Kowalski;Kwiatowa 41;9;P.G.;nauczyciel;M;159;warszawa;mazowieckie;318
57;Wiktor;Krupicki;Kwiatowa 40;3;P.W.;nauczyciel;M;144;warszawa;mazowieckie;288
58;Janusz;Kurant;Kwiatowa 37;11;P.Szcz.;geograf;M;158;warszawa;mazowieckie;316
59;Michal;Kureka;Kwiatowa 37;7;P.W.;inzynier;M;164;warszawa;mazowieckie;328
60;Wiktor;Labuda;Kwiatowa 39;11;P.W.;nauczyciel;M;191;krakow;malopolska;382
61;Zbigniew;Liczaba;Kwiatowa 56;3;U.W;plastyk;M;194;krakow;malopolska;388
62;Robert;Liczak;Kwiatowa 47;10;U.W.;kartograf;M;177;krakow;malopolska;354
63;Michal;Likary;Kwiatowa 35;6;P.W.;inzynier;M;177;krakow;malopolska;354
64;Mateusz;Likian;Kwiatowa 37;7;P.W.;inzynier;M;159;krakow;malopolska;318
65;Marek;Linda;Kwiatowa 35;8;P.W.;inzynier;M;162;krakow;malopolska;324
66;Michal;Lindak;Kwiatowa 37;9;P.W.;inzynier;M;179;krakow;malopolska;358
67;Franciszek;Lindarek;Kwiatowa 35;9;P.W.;inzynier;M;147;krakow;malopolska;294
68;Michal;Lipecki;Kwiatowa 35;5;P.W.;inzynier;M;166;krakow;malopolska;332
71;Zbigniew;Mkol;Kwiatowa 52;9;U.W;plastyk;M;182;krakow;malopolska;364
69;Ewa;Masztaler;Kwiatowa 45;22;U.W.;filolog;K;166;krakow;malopolska;332
72;Jadwiga;Milecka;Kwiatowa 29;7;U.Pozn.;geograf;K;164;krakow;malopolska;328
73;Robert;Moczydo;Kwiatowa 48;6;U.W.;kartograf;M;152;krakow;malopolska;304
70;Barbara;Mska;Kwiatowa 40;12;U.W.;filolog;K;166;krakow;malopolska;332
74;Ewa;Niemota;Kwiatowa 38;12;U.W.;filolog;K;163;krakow;malopolska;326
75;Robert;Palancik;Kwiatowa 48;5;U.W.;kartograf;M;190;krakow;malopolska;380
76;Pawel;Palek;Kwiatowa 33;10;P.Szcz.;kartograf;M;158;krakow;malopolska;316
107;Edward;Peligowski;Kwiatowa 53;22;U.W;filolog;M;167;zakopane;malopolska;342
108;Zbigniew;Peligowski;Kwiatowa 56;22;U.W;plastyk;M;173;zakopane;malopolska;346
77;Krystyna;Pilecki;Kwiatowa 34;6;P.Szcz.;geograf;K;156;krakow;malopolska;312
78;Krystyna;Policka;Kwiatowa 33;7;P.Szcz.;geograf;K;143;krakow;malopolska;286
79;Krzysztof;Policki;Kwiatowa 33;1;P.Szcz.;inzynier;M;161;krakow;malopolska;322
80;Elwira;Policzawska;Kwiatowa 33;4;P.Szcz.;filolog;K;158;krakow;malopolska;316
81;Pawel;Policzewski;Kwiatowa 39;15;P.Szcz.;kartograf;M;198;krakow;malopolska;396
82;Krystyna;Polkowiak;Kwiatowa 33;5;P.Szcz.;inzynier;K;149;krakow;malopolska;298
83;Wiktor;Prszak;Kwiatowa 41;7;P.W.;nauczyciel;M;170;krakow;malopolska;340
84;Andrzej;Robek;Kwiatowa 29;5;P.Wr.;kartograf;M;185;krakow;malopolska;370
85;Zbigniew;Rudak;Kwiatowa 56;32;U.W;plastyk;M;191;krakow;malopolska;382
86;Barbara;Sadurski;Kwiatowa 44;7;U.W.;filolog;K;169;krakow;malopolska;338
87;Marek;Sawek;Kwiatowa 42;12;P.Szcz.;inzynier;M;151;krakow;malopolska;302
88;Robert;Sulik;Kwiatowa 46;11;U.W.;kartograf;M;166;krakow;malopolska;332
89;Zbigniew;Sulik;Kwiatowa 54;23;U.W;plastyk;M;159;krakow;malopolska;318
90;Robert;Sulikowski;Kwiatowa 47;12;U.W.;lekarz;M;174;krakow;malopolska;348
91;Robert;Surma;Kwiatowa 47;6;U.W.;lekarz;M;176;krakow;malopolska;352
92;Robert;Surmak;Kwiatowa 46;2;U.W.;lekarz;M;171;krakow;malopolska;342
93;Wiktor;Suwald;Kwiatowa 39;8;P.W.;pedagog;M;184;krakow;malopolska;368
94;Michal;Szerka;Kwiatowa 35;7;P.W.;inzynier;M;171;krakow;malopolska;342
95;Tadeusz;Tomora;Kwiatowa 43;3;P.G.;nauczyciel;M;183;krakow;malopolska;366
96;Zbigniew;Trewirek;Kwiatowa 56;6;U.W;plastyk;M;174;krakow;malopolska;348
97;Zbigniew;Twardzioch;Kwiatowa 53;9;U.W;plastyk;M;155;krakow;malopolska;310
98;Andrzej;Twarnowski;Kwiatowa 56;32;U.W;plastyk;M;176;krakow;malopolska;352
99;Tadeusz;Twomicki;Kwiatowa 57;32;P.G.;nauczyciel;M;194;krakow;malopolska;388
100;Michal;Wertyk;Kwiatowa 49;23;P.W.;inzynier;M;160;krakow;malopolska;320
101;Rafal;Wobek;Kwiatowa 34;4;P.Wr.;kartograf;M;154;krakow;malopolska;308
102;Tadeusz;Womor;Kwiatowa 44;18;P.G.;nauczyciel;M;159;krakow;malopolska;318
103;Robert;Wyszon;Kwiatowa 49;3;U.W.;lekarz;M;165;krakow;malopolska;330
105;Wiktor;Zamcki;Kwiatowa 39;8;P.W.;pedagog;M;171;krakow;malopolska;342
104;Robert;Zamek;Kwiatowa 47;10;U.W.;lekarz;M;174;krakow;malopolska;348
106;Tadeusz;Zomornik;Kwiatowa 43;12;P.G.;nauczyciel;M;158;krakow;malopolska;316
